Feature,Mutual_Information,RF_Importance,MI_Normalized,RF_Normalized,Combined_Score
BMI,1.389244834067214,0.19412325647831058,1.0,1.0,1.0
Weight,1.37016644070796,0.14767374046667792,0.9862670762622888,0.7607215289177757,0.8734943025900322
Weight_scaled,1.3659494748043994,0.140553587314893,0.9832316387352587,0.7240430119746991,0.8536373253549789
Age,0.8022021603280391,0.041751997889978285,0.5774375694307798,0.21507983457223345,0.39625870200150665
Age_scaled,0.7990014739028992,0.03953808385191849,0.5751336656503573,0.2036751524222245,0.3894044090362909
Height,0.782179866880877,0.038439249141014126,0.5630252117554635,0.1980146523315147,0.3805199320434891
Height_scaled,0.7778222830420556,0.03572530281959032,0.5598885552554973,0.1840341207318553,0.3719613379936763
FCVC_scaled,0.5023797264211591,0.04386811986659971,0.3616207266723247,0.2259807539932811,0.2938007403328029
FCVC,0.5061084509153226,0.027481227289615707,0.3643047204527782,0.1415658679344594,0.2529352941936188
CH2O_scaled,0.5241613430100971,0.019288551797528013,0.3772994724591052,0.09936239555966406,0.23833093400938465
CH2O,0.5267504206461902,0.01834359025000753,0.37916313073776386,0.09449455249612022,0.23682884161694204
TUE,0.49980959049001683,0.015228570648790636,0.3597707029269653,0.07844794552213855,0.21910932422455193
TUE_scaled,0.4899555803257085,0.015384272785882877,0.35267763342426334,0.07925002426281554,0.21596382884353943
FAF,0.4616461645365688,0.01562248711285866,0.33230007642715736,0.08047715351717358,0.20638861497216549
FAF_scaled,0.45398813323602294,0.014145945649874548,0.3267877066038154,0.0728709475953752,0.1998293270995953
Gender,0.2688261970161796,0.023472572796930283,0.1935052702187506,0.12091582030282332,0.15721054526078695
Gender_Female,0.26317752176032005,0.022863747528537245,0.18943926607222286,0.11777953833724099,0.15360940220473193
Gender_Male,0.2561044973713047,0.021948586915054677,0.18434799330620646,0.11306521080078313,0.14870660205349479
NCP,0.2149565033607841,0.01181010240678617,0.15472902838261274,0.060838163448518674,0.1077835959155657
NCP_scaled,0.2036238885296946,0.011694280283140561,0.1465716362849854,0.06024152126485249,0.10340657877491895
family_history_with_overweight,0.17299234446844913,0.010154758381857072,0.12452257530588698,0.05231088003611594,0.08841672767100146
family_history_with_overweight_yes,0.17420698679642932,0.009984281399262314,0.12539689371124982,0.05143269065434135,0.08841479218279558
family_history_with_overweight_no,0.1673067994463011,0.007811278858924896,0.12043003172917073,0.040238758614672486,0.0803343951719216
CAEC,0.1470770942572317,0.006972198344539466,0.1058683758619007,0.03591634753622872,0.07089236169906471
CALC,0.11806189833311276,0.007228201267577281,0.08498278736619057,0.03723511236473044,0.061108949865460505
CAEC_Sometimes,0.1255033071440974,0.005794971819007021,0.09033922895841795,0.02985202249404102,0.060095625726229486
CALC_Sometimes,0.11689646481620963,0.006658579587937127,0.08414389022702241,0.03430078244479219,0.0592223363359073
CAEC_Frequently,0.11190761255988235,0.006869568150641491,0.08055283691950592,0.03538766181479667,0.0579702493671513
CALC_no,0.09625802466709521,0.00610944425491542,0.06928802058978041,0.031471985200279336,0.05038000289502988
MTRANS,0.0636774537209952,0.0047751959856114495,0.045836019799742785,0.024598783640047698,0.03521740171989524
MTRANS_Public_Transportation,0.06251543325516495,0.0030933107989731664,0.04499957942772551,0.01593477698185422,0.030467178204789867
MTRANS_Automobile,0.05653308555491332,0.003475146072608842,0.040693392675360596,0.01790175033972357,0.029297571507542083
FAVC_no,0.05012462654311367,0.003566922063130298,0.03608048438543882,0.018374522083750594,0.02722750323459471
FAVC_yes,0.045697371331468783,0.0036760981342707747,0.03289367734964553,0.018936928016564082,0.025915302683104807
FAVC,0.04213890963675393,0.003847450367123232,0.030332241375615708,0.01981962613301363,0.025075933754314668
SCC_yes,0.03625916031517251,0.001476378664320052,0.026099906529087894,0.00760536728624789,0.016852636907667893
SCC_no,0.025185515536459313,0.001483682257990112,0.01812892509574795,0.007642990772493475,0.012885957934120711
CAEC_Always,0.01820166124841105,0.0013607140003731608,0.013101838352799966,0.007009536235166102,0.010055687293983033
SCC,0.01607460419708806,0.0014870944157862915,0.01157074966406558,0.007660568047149182,0.009615658855607381
CAEC_no,0.01581681449834882,0.0013506720927241233,0.01138518863665148,0.00695780669059111,0.009171497663621296
MTRANS_Walking,0.015836145524442014,0.0012327016850672825,0.011399103409353281,0.006350097909082895,0.008874600659218088
CALC_Frequently,0.013728132817696359,0.0013474072795157184,0.009881723135514765,0.0069409884418782375,0.008411355788696501
SMOKE_no,0.007714307803870835,0.00033493625690253346,0.005552878524144725,0.0017253793439219165,0.0036391289340333205
SMOKE_yes,0.003366600282929788,0.0003536055873313572,0.002423331151121564,0.0018215519033952824,0.002122441527258423
SMOKE,0.0005172529754449151,0.00036444487156685017,0.0003723267222312302,0.0018773890268401182,0.0011248578745356743
MTRANS_Bike,0.0,0.00012634010207186456,0.0,0.0006508241431957462,0.0003254120715978731
MTRANS_Motorbike,0.0,0.00010734400598138335,0.0,0.0005529682941073931,0.00027648414705369655
